Negative Feedback 1,Negative Feedback 2,Negative Feedback 3,Negative Feedback 4,Negative Feedback 5,Negative Feedback 6
,,Improvement needed ,,,
,,Hard work needed ,,,
,,the course content is not enough for examination,,,
,,Exams aren't as per expectations,Doubts aren't cleared,,
,,Examination is not conducted in good manner. It needs improvement,,,
,,Tough,No focus on labwork,,
,,I hate using my Brain right now,,,
,,Improvement needed ,,,
,,Hard work needed ,,,
,,the course content is not enough for examination,,,
,,Exams aren't as per expectations,Doubts aren't cleared,,
,,Examination is not conducted in good manner. It needs improvement,,,
,,Should be conducted in a non chaotic way. ,,,
,,Practical exams arent conducted well,,,
,,Timetable aren't updated,,,Practical knowledge isnt applied.
,,question appeared in are not from syllabus,Equipment in the lab are not in good working condition,,
,,pattern needs to improve a lot,very bad infrastructure,,
,,poor,,,
,,Not that easy,Requires for brain development skills like coding,Less no of books ,
,,very hard,,,
,,pattern is not satisfactory,needs to improve,,
,,Practicals are not conducted well,,Books are too old to read,
,,Intellectual needed ,,,
,,Tough,Not good,Not available,
,,Out of syllabus,,Need to be improved,NotGood
,,Out of syllabus,,,
,,,Improvement is required,,Extracurricular activities should include physical fitness also.
,,,Improvement is required,,Extracurricular activities should include physical fitness also.
,,,the teachers unable to communicate in proper language,The library staff is  not helpful,
,,,Not happy...With labs ,Magazines aren't available,
,,,Not that gud,Not that good,
,,,Interest could be developed more,,
,,,lab work is not satisfactory,,not conducted
,,,must be repaired since it has leakages on the roof,,no extra curricular activity like art is happening
,,,Communication problem,Timing are not convenient ,International level competition should be included
,,,Lab Entries aren't managed well,Reference books are not in good condition,
,,,Lab should have updated softwares,,
,,,Needed to be conducted regularly,,
,,,,Expert needed....,
,,,,Expert needed....,
,,,,There should be always someone who should suggest you what to read and understand person,
,,,,No proper guidance,
,,,,not good,
,,,,Complications faced with language and communication,
,,,,Not that descent ,
,,,,Books timing should be increased,
,,,,Literature related books are not there,Physics club is boring and so I lost interest
,,,,Poor,Not suportive
,,,,,No extra  curricular activities are conducted
,,,,,Need to encourage more students for participation via poster or speech....
,,,,,Can do better
,,,,,More events or gaming can be included
,,,,,Boring games 
,,,,,priorities are not given to extra curricular activities
,,,,,Less attention is paid to extra curricular
,,,,,Not that muchh interesting 
,,,,,Biology club is boring for engineers like me
,,,,,Management activities aren't there
